Title,Description,Runtime,Genre,Year
Idi i smotri,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",142,"Drama, War            ",1985
Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",160,"Biography, Drama, History            ",1984
Scarface,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",170,"Crime, Drama            ",1983
Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",131,"Action, Adventure, Fantasy            ",1983
Das Boot,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",149,"Adventure, Drama, Thriller            ",1981
Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",114,"Crime, Drama            ",1976
The Sting,Two grifters team up to pull off the ultimate con.,129,"Comedy, Crime, Drama            ",1973
A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",136,"Crime, Drama, Sci-Fi            ",1971
2001: A Space Odyssey,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",149,"Adventure, Sci-Fi            ",1968
Per qualche dollaro in più,Two bounty hunters with the same intentions team up to track down a Western outlaw.,132,Western            ,1965
To Kill a Mockingbird,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",129,"Crime, Drama            ",1962
Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",228,"Adventure, Biography, Drama            ",1962
The Apartment,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",125,"Comedy, Drama, Romance            ",1960
North by Northwest,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,136,"Adventure, Mystery, Thriller            ",1959
Vertigo,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,128,"Mystery, Romance, Thriller            ",1958
Singin' in the Rain,A silent film production company and cast make a difficult transition to sound.,103,"Comedy, Musical, Romance            ",1952
Ikiru,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,143,Drama            ,1952
Ladri di biciclette,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",89,Drama            ,1948
Double Indemnity,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,107,"Crime, Drama, Film-Noir            ",1944
Citizen Kane,"Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",119,"Drama, Mystery            ",1941
M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",117,"Crime, Mystery, Thriller            ",1931
Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",153,"Drama, Sci-Fi            ",1927
The Kid,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",68,"Comedy, Drama, Family            ",1921
Green Book,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,130,"Biography, Comedy, Drama            ",2018
"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,115,"Crime, Drama            ",2017
Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",118,"Drama, Thriller            ",I 2015
PK,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,153,"Comedy, Drama, Fantasy            ",2014
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",95,"Animation, Adventure, Comedy            ",I 2015
Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",321,"Action, Comedy, Crime            ",2012
El secreto de sus ojos,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,129,"Drama, Mystery, Romance            ",2009
Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",140,"Drama, Sport            ",2011
